fighter_id,fight_stat_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,avg_ctrl_time,avg_reversals,avg_submission_att,avg_takedown_succ,avg_takedown_att,avg_sig_strikes_att,avg_total_strikes_succ,avg_total_strikes_att,avg_knockdowns,avg_finish_time,fighter_f_name,fighter_l_name
905,5725,148,4073.0,905.0,4073.0,3.0,0,3,0,177.8,170.0,190.5,0.0,43.57563312799452,6,5,0,0.0,83,21,12.0,0.0,0.0,0.0,0.0,101.0,63.0,124.0,0.0,300.0,Amir,Sadollah
906,14092,5,906.0,4017.0,906.0,3.0,0,1,0,172.72,145.0,177.8,0.0,33.374401095140314,18,4,0,0.0,0,0,387.0,0.0,1.0,2.0,3.0,35.0,88.0,97.0,0.0,108.0,Pat,Sabatini
909,14152,1,909.0,1660.0,909.0,3.0,0,4,0,172.72,135.0,170.18,1.0,23.260780287474333,9,0,0,0.0,0,0,97.0,1.0,1.0,2.0,2.0,32.0,23.0,38.0,0.0,190.0,Cameron,Saaiman
912,14135,1,3005.0,912.0,912.0,3.0,0,5,0,195.58,185.0,193.04,0.0,30.34633812457221,35,8,2,0.0,0,0,1.0,0.0,0.0,1.0,1.0,9.0,6.0,9.0,0.0,77.0,Nursulton,Ruziboev
914,4282,0,914.0,2328.0,2328.0,3.0,0,6,0,185.42,255.0,185.42,0.0,47.53456536618754,15,3,0,1.0,48,0,218.0,0.0,0.0,1.0,6.0,45.0,29.0,51.0,0.0,228.0,Mike,Russow
915,14279,5,3988.0,915.0,3988.0,3.0,0,2,1,152.4,115.0,154.94,1.0,31.137577002053387,10,3,0,0.0,0,0,219.0,0.0,0.0,1.0,1.0,36.0,20.0,57.0,0.0,221.0,Montserrat,Conejo Ruiz
925,13668,0,925.0,1178.0,1178.0,3.0,0,10,0,185.42,205.0,193.04,0.0,42.32991101984942,27,14,1,0.0,16,6,1.0,0.0,0.0,0.0,0.0,31.0,21.0,35.0,0.0,245.0,Mauricio,Rua
926,14006,3,926.0,4018.0,4018.0,5.0,0,6,0,187.96,242.0,198.12,0.0,36.02190280629706,13,5,0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,223.0,Jairzinho,Rozenstruik
927,13904,36,927.0,1478.0,927.0,3.0,0,9,0,175.26,125.0,172.72,1.0,31.60574948665298,15,6,0,0.0,12,0,7.0,0.0,0.0,0.0,0.0,22.0,13.0,22.0,1.0,129.0,Brandon,Royval
931,14113,3,1915.0,931.0,1915.0,3.0,0,3,0,190.5,170.0,203.2,0.0,33.686516084873375,10,4,0,0.0,8,0,278.0,0.0,0.0,1.0,2.0,64.0,51.0,86.0,0.0,300.0,Phil,Rowe
934,7889,0,1440.0,934.0,1440.0,5.0,1,7,1,170.18,135.0,167.64,0.0,37.14442162902122,12,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,14.0,0.0,48.0,Ronda,Rousey
935,14296,0,935.0,3293.0,935.0,3.0,0,10,0,185.42,205.0,193.04,1.0,34.07529089664613,13,5,0,1.0,0,0,31.0,0.0,0.0,0.0,0.0,24.0,16.0,24.0,1.0,160.0,Khalil,Rountree Jr.
937,12510,0,937.0,971.0,971.0,3.0,0,6,0,193.04,265.0,198.12,0.0,42.43668720054757,39,14,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,8.0,0.0,32.0,Ben,Rothwell
940,14150,4,940.0,4080.0,4080.0,3.0,0,9,0,167.64,125.0,167.64,2.0,34.86926762491444,13,8,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,17.0,Shannon,Ross
943,7019,0,1497.0,943.0,1497.0,3.0,0,6,0,187.96,265.0,190.5,0.0,37.63997262149213,14,4,0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,120.0,36.0,120.0,0.0,300.0,Jared,Rosholt
946,14412,1,946.0,1660.0,946.0,3.0,0,4,0,175.26,135.0,170.18,2.0,19.460643394934976,8,1,0,0.0,0,0,17.0,0.0,0.0,0.0,0.0,30.0,19.0,31.0,1.0,54.0,Raul,Rosas Jr.
948,14129,2,828.0,948.0,948.0,3.0,0,12,1,165.1,145.0,170.18,0.0,29.234770704996578,17,5,0,0.0,0,0,41.0,0.0,0.0,1.0,1.0,130.0,117.0,181.0,0.0,300.0,Karol,Rosa
949,13205,10,102.0,949.0,102.0,3.0,0,1,0,175.26,145.0,175.26,2.0,37.58521560574949,14,8,0,0.0,7,4,52.0,0.0,1.0,2.0,9.0,167.0,54.0,170.0,0.0,300.0,Charles,Rosa
950,3727,55,429.0,950.0,429.0,3.0,0,10,0,193.04,205.0,195.58,0.0,40.82683093771389,18,6,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,12.0,16.0,29.0,0.0,128.0,Aaron,Rosa
952,6685,64,1651.0,952.0,1651.0,3.0,0,4,0,185.42,135.0,182.88,0.0,42.3709787816564,15,13,1,0.0,83,21,352.0,0.0,0.0,0.0,2.0,112.0,97.0,165.0,0.0,300.0,George,Roop
953,13395,16,688.0,953.0,688.0,3.0,0,0,0,177.8,155.0,177.8,1.0,38.25051334702259,21,12,0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,83.0,39.0,83.0,0.0,188.0,Jesse,Ronson
955,13723,5,3536.0,955.0,3536.0,3.0,0,9,0,160.02,125.0,162.56,1.0,29.100616016427104,4,2,0,0.0,0,0,82.0,0.0,0.0,1.0,1.0,7.0,46.0,56.0,0.0,193.0,Juancamilo,Ronderos
957,11331,4,3629.0,957.0,3629.0,3.0,0,8,1,167.64,125.0,175.26,0.0,37.80971937029432,12,9,0,2.0,0,0,120.0,0.0,0.0,1.0,2.0,9.0,15.0,21.0,0.0,149.0,Mara,Romero Borella
960,10895,3,4089.0,960.0,4089.0,5.0,1,5,0,182.88,185.0,185.42,1.0,46.90212183436002,13,5,0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,89.0,40.0,89.0,0.0,300.0,Yoel,Romero
962,14124,2,962.0,2431.0,962.0,3.0,0,6,0,187.96,262.0,190.5,1.0,33.28678986995209,17,2,0,0.0,0,0,173.0,0.0,0.0,2.0,3.0,154.0,104.0,180.0,0.0,300.0,Alexandr,Romanov
965,4091,0,226.0,965.0,226.0,3.0,0,0,0,177.8,155.0,182.88,0.0,44.69815195071869,11,7,0,0.0,46,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,158.0,Shane,Roller
966,13554,27,966.0,1850.0,1850.0,3.0,0,1,0,172.72,145.0,180.34,0.0,35.728952772073924,16,10,0,0.0,17,0,0.0,0.0,0.0,0.0,0.0,47.0,48.0,65.0,0.0,74.0,Marcelo,Rojo
967,11047,1,2487.0,967.0,2487.0,3.0,0,0,0,185.42,155.0,180.34,0.0,29.492128678987,5,1,0,0.0,0,0,67.0,0.0,1.0,2.0,6.0,54.0,17.0,55.0,0.0,300.0,Max,Rohskopf
971,14245,3,2034.0,971.0,2034.0,3.0,0,6,0,185.42,253.0,190.5,0.0,38.74880219028063,21,10,1,0.0,6,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,33.0,Marcos,Rogerio de Lima
973,13411,5,2418.0,973.0,973.0,3.0,0,3,0,175.26,155.0,180.34,2.0,27.362080766598226,5,1,0,0.0,0,0,15.0,0.0,0.0,0.0,0.0,33.0,26.0,39.0,1.0,93.0,Pete,Rodriguez
974,13881,16,946.0,974.0,974.0,3.0,0,4,0,170.18,135.0,180.34,0.0,26.269678302532512,9,1,0,0.0,13,0,450.0,0.0,0.0,1.0,1.0,52.0,83.0,115.0,0.0,300.0,Christian,Rodriguez
975,13899,16,1001.0,975.0,1001.0,3.0,0,2,1,160.02,115.0,160.02,0.0,31.367556468172484,9,1,0,0.0,12,0,54.0,0.0,0.0,1.0,1.0,33.0,25.0,47.0,0.0,261.0,Piera,Rodriguez
976,12005,5,684.0,976.0,684.0,3.0,0,9,0,165.1,125.0,170.18,2.0,31.550992470910334,7,4,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,60.0,Victor,Rodriguez
977,12217,50,1613.0,977.0,1613.0,3.0,0,4,0,172.72,135.0,175.26,0.0,27.77275838466804,7,3,0,0.0,26,0,74.0,0.0,0.0,3.0,5.0,151.0,60.0,156.0,0.0,300.0,Drako,Rodriguez
979,11813,0,80.0,979.0,80.0,3.0,0,4,0,170.18,135.0,177.8,0.0,36.290212183436005,16,8,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,35.0,0.0,189.0,Ray,Rodriguez
980,14002,3,980.0,2865.0,2865.0,3.0,0,3,0,185.42,170.0,187.96,1.0,37.23203285420944,17,4,0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,25.0,0.0,177.0,Daniel,Rodriguez
981,14432,2,981.0,179.0,981.0,3.0,0,2,1,167.64,115.0,165.1,0.0,36.90622861054072,17,3,2,0.0,0,0,123.0,0.0,0.0,1.0,1.0,102.0,90.0,130.0,0.0,162.0,Marina,Rodriguez
982,12310,0,982.0,1507.0,1507.0,3.0,0,10,0,193.04,205.0,208.28,1.0,35.32101300479124,11,7,0,1.0,0,0,2.0,0.0,0.0,0.0,0.0,144.0,59.0,156.0,0.0,300.0,Mike,Rodriguez
983,14171,0,227.0,983.0,227.0,5.0,1,1,0,180.34,145.0,180.34,0.0,31.46611909650924,16,4,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,80.0,57.0,103.0,0.0,259.0,Yair,Rodriguez
987,14353,11,3837.0,987.0,3837.0,3.0,0,4,0,165.1,135.0,170.18,0.0,28.424366872005475,8,3,0,0.0,2,2,30.0,0.0,0.0,0.0,0.0,8.0,25.0,26.0,0.0,255.0,Kleydson,Rodrigues
988,14312,17,988.0,392.0,988.0,3.0,0,5,0,190.5,185.0,190.5,0.0,32.101300479123886,14,5,0,0.0,4,0,47.0,0.0,0.0,1.0,2.0,6.0,6.0,8.0,0.0,103.0,Gregory,Rodrigues
990,13309,43,3381.0,990.0,3381.0,3.0,0,5,0,190.5,185.0,195.58,1.0,39.43600273785079,16,6,0,0.0,6,0,47.0,1.0,0.0,1.0,4.0,70.0,57.0,78.0,0.0,300.0,Luke,Rockhold
994,3889,180,1203.0,994.0,1203.0,3.0,0,3,0,177.8,170.0,185.42,0.0,42.70225872689939,9,4,0,0.0,52,0,0.0,0.0,0.0,0.0,0.0,37.0,38.0,66.0,0.0,300.0,Carlos,Eduardo Rocha
995,5831,45,1810.0,995.0,1810.0,3.0,0,0,0,177.8,155.0,185.42,0.0,41.80150581793292,14,4,0,0.0,1,1,28.0,0.0,0.0,0.0,0.0,30.0,17.0,33.0,0.0,112.0,Vagner,Rocha
1001,14107,16,1049.0,1001.0,1049.0,3.0,0,2,1,165.1,115.0,160.02,0.0,28.856947296372347,12,8,0,0.0,8,0,26.0,0.0,0.0,1.0,4.0,219.0,78.0,225.0,0.0,300.0,Gillian,Robertson
1002,7575,2,3540.0,1002.0,3540.0,3.0,0,3,0,177.8,170.0,187.96,0.0,40.10951403148528,15,5,0,0.0,95,0,192.0,2.0,0.0,0.0,0.0,134.0,45.0,153.0,0.0,300.0,Kenny,Robertson
1003,12234,1,1003.0,3884.0,3884.0,3.0,0,0,0,187.96,155.0,185.42,0.0,30.11635865845312,10,3,0,1.0,0,0,104.0,0.0,0.0,0.0,12.0,168.0,65.0,185.0,0.0,295.0,Roosevelt,Roberts
1004,14214,4,1004.0,1307.0,1307.0,3.0,0,3,0,185.42,170.0,187.96,1.0,36.69815195071869,18,8,0,0.0,7,4,5.0,0.0,0.0,0.0,2.0,133.0,44.0,134.0,0.0,297.0,Danny,Roberts
